# ps/frame	X-axis	Y-axis	Z-axis	Alpha	Beta	Gamma	Volumn
1240.0	66.9048	66.9048	63.6184	90.0	90.0	90.0	284771.80451
1245.0	66.8944	66.8944	63.6011	90.0	90.0	90.0	284606.643668
1250.0	66.7077	66.7077	63.7671	90.0	90.0	90.0	283757.752609
1255.0	66.9628	66.9628	63.209	90.0	90.0	90.0	283429.932576
1260.0	66.7632	66.7632	63.5546	90.0	90.0	90.0	283283.911129
1265.0	66.7072	66.7072	63.9239	90.0	90.0	90.0	284451.871772
1270.0	66.571	66.571	63.6803	90.0	90.0	90.0	282211.506595
1275.0	66.3309	66.3309	64.2748	90.0	90.0	90.0	282795.355584
1280.0	66.7638	66.7638	63.7903	90.0	90.0	90.0	284339.188086
1285.0	66.8537	66.8537	63.8923	90.0	90.0	90.0	285561.422616
1290.0	66.6513	66.6513	64.0883	90.0	90.0	90.0	284705.53063
1295.0	66.487	66.487	64.5235	90.0	90.0	90.0	285227.252894
1300.0	66.5639	66.5639	64.1585	90.0	90.0	90.0	284270.65208
1305.0	66.5634	66.5634	64.2167	90.0	90.0	90.0	284524.228349
1310.0	66.7189	66.7189	64.044	90.0	90.0	90.0	285085.961223
1315.0	66.474	66.474	64.1876	90.0	90.0	90.0	283631.821992
1320.0	66.3677	66.3677	64.4342	90.0	90.0	90.0	283811.822008
1325.0	66.403	66.403	64.2617	90.0	90.0	90.0	283352.951075
1330.0	66.391	66.391	64.2221	90.0	90.0	90.0	283075.80532
1335.0	66.8886	66.8886	63.8046	90.0	90.0	90.0	285467.61188
1340.0	66.8429	66.8429	63.591	90.0	90.0	90.0	284122.838963
1345.0	66.7857	66.7857	63.4703	90.0	90.0	90.0	283098.65378
1350.0	66.9364	66.9364	63.5852	90.0	90.0	90.0	284892.72163
1355.0	66.7786	66.7786	64.0501	90.0	90.0	90.0	285624.11624
1360.0	66.6659	66.6659	63.9495	90.0	90.0	90.0	284212.965933
1365.0	66.9026	66.9026	63.4749	90.0	90.0	90.0	284111.367986
1370.0	66.9672	66.9672	63.589	90.0	90.0	90.0	285171.233573
1375.0	67.0564	67.0564	63.3532	90.0	90.0	90.0	284871.314176
1380.0	66.7896	66.7896	63.5938	90.0	90.0	90.0	283682.437685
1385.0	66.7306	66.7306	63.9061	90.0	90.0	90.0	284572.722832
1390.0	66.9987	66.9987	63.1008	90.0	90.0	90.0	283248.964976
1395.0	67.0803	67.0803	63.2892	90.0	90.0	90.0	284786.943668
1400.0	66.9808	66.9808	63.2154	90.0	90.0	90.0	283610.816238
1405.0	67.2031	67.2031	62.7631	90.0	90.0	90.0	283453.837103
1410.0	67.2209	67.2209	62.8086	90.0	90.0	90.0	283810.292718
1415.0	67.4417	67.4417	62.5422	90.0	90.0	90.0	284466.235847
1420.0	67.397	67.397	62.8759	90.0	90.0	90.0	285605.152428
1425.0	67.1543	67.1543	62.8927	90.0	90.0	90.0	283627.003971
1430.0	67.2269	67.2269	62.6781	90.0	90.0	90.0	283270.542488
1435.0	67.3171	67.3171	62.7785	90.0	90.0	90.0	284486.43634
1440.0	67.0743	67.0743	63.1497	90.0	90.0	90.0	284108.089187
1445.0	67.1841	67.1841	63.0797	90.0	90.0	90.0	284722.804912
1450.0	67.5462	67.5462	62.6607	90.0	90.0	90.0	285888.316896
1455.0	67.135	67.135	63.1016	90.0	90.0	90.0	284405.851484
1460.0	66.9137	66.9137	63.2855	90.0	90.0	90.0	283357.759806
1465.0	66.8662	66.8662	63.4873	90.0	90.0	90.0	283857.825038
1470.0	66.711	66.711	63.4845	90.0	90.0	90.0	282528.611712
1475.0	67.0926	67.0926	63.1106	90.0	90.0	90.0	284087.369208
1480.0	67.1842	67.1842	62.9485	90.0	90.0	90.0	284132.298786
1485.0	66.9385	66.9385	63.3953	90.0	90.0	90.0	284058.984156
1490.0	66.8462	66.8462	63.2783	90.0	90.0	90.0	282753.861381
1495.0	66.687	66.687	63.7078	90.0	90.0	90.0	283318.627673
1500.0	66.5676	66.5676	64.0127	90.0	90.0	90.0	283655.762888
1505.0	66.7469	66.7469	63.5338	90.0	90.0	90.0	283052.448003
1510.0	66.6244	66.6244	64.0073	90.0	90.0	90.0	284116.297774
1515.0	66.5466	66.5466	63.9151	90.0	90.0	90.0	283044.282003
1520.0	66.9607	66.9607	63.6391	90.0	90.0	90.0	285340.616176
1525.0	66.8899	66.8899	63.6614	90.0	90.0	90.0	284837.606103
1530.0	66.5468	66.5468	63.7616	90.0	90.0	90.0	282366.86517
1535.0	66.6819	66.6819	63.9425	90.0	90.0	90.0	284319.051611
1540.0	66.9068	66.9068	63.3761	90.0	90.0	90.0	283704.138996
1545.0	66.8443	66.8443	63.6804	90.0	90.0	90.0	284534.604288
1550.0	66.8984	66.8984	63.4941	90.0	90.0	90.0	284161.252266
1555.0	66.9326	66.9326	63.3967	90.0	90.0	90.0	284015.38482
1560.0	66.9492	66.9492	63.5258	90.0	90.0	90.0	284735.262808
1565.0	67.1511	67.1511	62.8976	90.0	90.0	90.0	283621.774566
1570.0	67.2924	67.2924	62.9712	90.0	90.0	90.0	285150.72839
1575.0	66.9407	66.9407	63.0889	90.0	90.0	90.0	282705.35975
1580.0	66.8901	66.8901	63.2898	90.0	90.0	90.0	283176.803049
1585.0	67.19	67.19	62.929	90.0	90.0	90.0	284093.244381
1590.0	67.1698	67.1698	62.9156	90.0	90.0	90.0	283862.01733
1595.0	67.131	67.131	63.2981	90.0	90.0	90.0	285257.672751
1600.0	67.0119	67.0119	63.1865	90.0	90.0	90.0	283745.576041
1605.0	66.9908	66.9908	63.3202	90.0	90.0	90.0	284166.427989
1610.0	67.1112	67.1112	63.3132	90.0	90.0	90.0	285157.127527
1615.0	66.8523	66.8523	63.8729	90.0	90.0	90.0	285462.887576
1620.0	66.7055	66.7055	63.9197	90.0	90.0	90.0	284418.699307
1625.0	66.8788	66.8788	63.8093	90.0	90.0	90.0	285404.63969
1630.0	66.7951	66.7951	63.7553	90.0	90.0	90.0	284449.942713
1635.0	66.7755	66.7755	63.855	90.0	90.0	90.0	284727.348368
1640.0	66.6445	66.6445	64.1735	90.0	90.0	90.0	285025.533726
1645.0	66.5916	66.5916	64.0078	90.0	90.0	90.0	283838.890902
1650.0	66.4634	66.4634	64.2419	90.0	90.0	90.0	283780.718592
1655.0	66.4036	66.4036	64.3883	90.0	90.0	90.0	283916.274054
1660.0	66.205	66.205	64.2299	90.0	90.0	90.0	281526.138305
1665.0	66.4704	66.4704	64.4748	90.0	90.0	90.0	284869.802226
1670.0	66.3693	66.3693	64.8497	90.0	90.0	90.0	285655.477194
1675.0	66.3773	66.3773	64.4571	90.0	90.0	90.0	283994.66606
1680.0	66.4451	66.4451	64.3475	90.0	90.0	90.0	284091.549304
1685.0	66.3785	66.3785	64.2748	90.0	90.0	90.0	283201.959454
1690.0	66.6249	66.6249	64.334	90.0	90.0	90.0	285571.13468
1695.0	66.3896	66.3896	64.4254	90.0	90.0	90.0	283960.490334
1700.0	66.2532	66.2532	64.8475	90.0	90.0	90.0	284647.01766
1705.0	66.3147	66.3147	64.6164	90.0	90.0	90.0	284159.24887
1710.0	66.378	66.378	64.7187	90.0	90.0	90.0	285152.64928
1715.0	66.7363	66.7363	63.9303	90.0	90.0	90.0	284728.229449
1720.0	66.4474	66.4474	64.4545	90.0	90.0	90.0	284583.48897
1725.0	66.4556	66.4556	64.4812	90.0	90.0	90.0	284771.651182
1730.0	66.1215	66.1215	64.8858	90.0	90.0	90.0	283683.87462
1735.0	66.4797	66.4797	64.2521	90.0	90.0	90.0	283965.083022
1740.0	66.5838	66.5838	64.1333	90.0	90.0	90.0	284328.350933
1745.0	66.5524	66.5524	64.3459	90.0	90.0	90.0	285002.263223
1750.0	66.2552	66.2552	64.3604	90.0	90.0	90.0	282526.144785
1755.0	66.175	66.175	64.7341	90.0	90.0	90.0	283479.535947
1760.0	66.3509	66.3509	64.8573	90.0	90.0	90.0	285530.61971
1765.0	66.3249	66.3249	64.5809	90.0	90.0	90.0	284090.676197
1770.0	66.4804	66.4804	64.2413	90.0	90.0	90.0	283923.92633
1775.0	66.6686	66.6686	63.9086	90.0	90.0	90.0	284054.94474
1780.0	66.5188	66.5188	64.7525	90.0	90.0	90.0	286514.006073
1785.0	66.5616	66.5616	64.2706	90.0	90.0	90.0	284747.849776
1790.0	66.7452	66.7452	63.8492	90.0	90.0	90.0	284443.349952
1795.0	66.8703	66.8703	63.5765	90.0	90.0	90.0	284290.572535
1800.0	66.5794	66.5794	64.4445	90.0	90.0	90.0	285670.191881
1805.0	66.3391	66.3391	64.3863	90.0	90.0	90.0	283355.870038
1810.0	66.2611	66.2611	64.5721	90.0	90.0	90.0	283505.928481
1815.0	66.3588	66.3588	64.4283	90.0	90.0	90.0	283709.51853
1820.0	66.3447	66.3447	64.2723	90.0	90.0	90.0	282901.963017
1825.0	66.2377	66.2377	64.633	90.0	90.0	90.0	283572.844754
1830.0	66.5525	66.5525	64.2168	90.0	90.0	90.0	284431.639987
1835.0	66.0334	66.0334	65.135	90.0	90.0	90.0	284015.716657
1840.0	66.4022	66.4022	64.6812	90.0	90.0	90.0	285195.929215
1845.0	66.1202	66.1202	65.009	90.0	90.0	90.0	284211.588865
1850.0	66.3098	66.3098	64.5552	90.0	90.0	90.0	283848.855318
